binning_data,update_time,create_time,count,speed,distance,calorie
029ce840-1b0d-41a3-8298-44becde2fb86.binning_data.json,15:01.4,6/17/2022,3786,1.3755283,2877.62,139.09
837a7a86-2e15-4acd-add7-5e040d3a954d.binning_data.json,44:13.7,6/16/2022,299,1.2685108,223.23001,11.049999
20456230-7c28-4995-8e17-120c1a137c53.binning_data.json,44:35.0,6/21/2022,1271,1.5252037,1024.48,51.2
5f1e1238-c5a3-4d1b-bd8f-1e7bea5eb055.binning_data.json,15:02.7,6/20/2022,2591,1.4441328,2006.76,92.06
cc45c3b0-c45d-4afd-836e-230653b57cbe.binning_data.json,45:33.7,6/23/2022,333,1.2440921,247.98,12.08
0336b98f-e610-4584-a54e-22bfa8263fe0.binning_data.json,15:02.7,6/9/2022,1616,1.3425312,1232.19,59.51
4e771478-4100-42d0-a191-3f1607d33e8a.binning_data.json,43:14.8,6/13/2022,1511,1.3019403,1142.12,55.089996
15368d17-fcce-461b-bf7a-59404a2d3f84.binning_data.json,16:49.2,6/19/2022,422,1.2050736,313.4,15.47
e4848cef-2bbd-45d8-a290-1cec29939d27.binning_data.json,18:53.9,6/26/2022,126,1.1773926,92.60999,4.6199994
9d3a8409-2cff-4b04-97f8-c04369c2b776.binning_data.json,47:46.0,6/12/2022,4710,1.2018801,3486.27,181.12999
004ee2cf-cfdc-4c1a-8c7c-df39018ca3ea.binning_data.json,49:03.7,6/24/2022,2306,1.4456545,1769.66,81.49
7094b425-95e3-4521-9747-006d174ba12e.binning_data.json,48:26.3,6/23/2022,333,1.2440921,247.98,12.08
f3931867-d08e-4731-b411-34c58b4e0271.binning_data.json,15:02.0,6/22/2022,10721,1.3251194,8070.37,415.28998
6cb2bd2e-9137-4c2d-8505-329a2699f33f.binning_data.json,37:22.8,6/16/2022,299,1.2685108,223.23001,11.049999
cf8b5cba-b557-4d55-b55e-0725f849f62c.binning_data.json,38:18.3,6/29/2022,602,1.4875824,474.87,22.07
3d19b9ea-fb1b-4438-ab73-b99f5550a2b7.binning_data.json,24:46.2,6/15/2022,794,1.4097868,608.8,28.189999
